x,y
0.0017101,50.0047
0.0034202,50.0094
0.00513029,50.0141
0.00684037,50.0188
0.00855045,50.0235
0.0102605,50.0282
0.0119706,50.0329
0.0136807,50.0376
0.0153907,50.0423
0.0171008,50.047
0.0188108,50.0517
0.0205209,50.0564
0.0222309,50.0611
0.0239409,50.0658
0.0256509,50.0705
0.027361,50.0752
0.029071,50.0799
0.030781,50.0846
0.032491,50.0893
0.034201,50.0939
0.035911,50.0986
0.037621,50.1033
0.0393309,50.108
0.0410409,50.1127
0.0427509,50.1174
0.0444609,50.1221
0.0461708,50.1268
0.0478808,50.1315
0.0495907,50.1362
0.0513007,50.1409
0.0530106,50.1456
0.0547205,50.1503
0.0564305,50.155
0.0581404,50.1597
0.0598503,50.1644
0.0615602,50.1691
0.0632701,50.1738
0.06498,50.1785
0.0666899,50.1832
0.0683998,50.1879
0.0701097,50.1925
0.0718196,50.1972
0.0735294,50.2019
0.0752393,50.2066
0.0769492,50.2113
0.078659,50.216
0.0803689,50.2207
0.0820787,50.2254
0.0837886,50.2301
0.0854984,50.2348
0.0872082,50.2395
0.0889181,50.2442
0.0906279,50.2489
0.0923377,50.2536
0.0940475,50.2583
0.0957573,50.2629
0.0974671,50.2676
0.0991769,50.2723
0.100887,50.277
0.102596,50.2817
0.104306,50.2864
0.106016,50.2911
0.107726,50.2958
0.109436,50.3005
0.111145,50.3052
0.112855,50.3099
0.114565,50.3146
0.116275,50.3193
0.117984,50.3239
0.119694,50.3286
0.121404,50.3333
0.123113,50.338
0.124823,50.3427
0.126533,50.3474
0.128243,50.3521
0.129952,50.3568
0.131662,50.3615
0.133372,50.3662
0.135081,50.3708
0.136791,50.3755
0.138501,50.3802
0.14021,50.3849
0.14192,50.3896
0.14363,50.3943
0.145339,50.399
0.147049,50.4037
0.148759,50.4084
0.150468,50.4131
0.152178,50.4177
0.153887,50.4224
0.155597,50.4271
0.157307,50.4318
0.159016,50.4365
0.160726,50.4412
0.162435,50.4459
0.164145,50.4506
0.165855,50.4553
0.167564,50.4599
0.169274,50.4646
0.170983,50.4693
0.172693,50.474
0.174402,50.4787
0.176112,50.4834
0.177822,50.4881
0.179531,50.4928
0.181241,50.4974
0.18295,50.5021
0.18466,50.5068
0.186369,50.5115
0.188079,50.5162
0.189788,50.5209
0.191498,50.5256
0.193207,50.5302
0.194917,50.5349
0.196626,50.5396
0.198336,50.5443
0.200045,50.549
0.201755,50.5537
0.203464,50.5584
0.205174,50.563
0.206883,50.5677
0.208592,50.5724
0.210302,50.5771
0.212011,50.5818
0.213721,50.5865
0.21543,50.5912
0.21714,50.5958
0.218849,50.6005
0.220558,50.6052
0.222268,50.6099
0.223977,50.6146
0.225687,50.6193
0.227396,50.624
0.229105,50.6286
0.230815,50.6333
0.232524,50.638
0.234233,50.6427
0.235943,50.6474
0.237652,50.6521
0.239362,50.6567
0.241071,50.6614
0.24278,50.6661
0.24449,50.6708
0.246199,50.6755
0.247908,50.6802
0.249618,50.6848
0.251327,50.6895
0.253036,50.6942
0.254745,50.6989
0.256455,50.7036
0.258164,50.7083
0.259873,50.7129
0.261583,50.7176
0.263292,50.7223
0.265001,50.727
0.26671,50.7317
0.26842,50.7363
0.270129,50.741
0.271838,50.7457
0.273547,50.7504
0.275257,50.7551
0.276966,50.7598
0.278675,50.7644
0.280384,50.7691
0.282094,50.7738
0.283803,50.7785
0.285512,50.7832
0.287221,50.7878
0.28893,50.7925
0.29064,50.7972
0.292349,50.8019
0.294058,50.8066
0.295767,50.8112
0.297476,50.8159
0.299185,50.8206
0.300895,50.8253
0.302604,50.83
0.304313,50.8346
0.306022,50.8393
0.307731,50.844
0.30944,50.8487
0.311149,50.8534
0.312858,50.858
0.314568,50.8627
0.316277,50.8674
0.317986,50.8721
0.319695,50.8767
0.321404,50.8814
0.323113,50.8861
0.324822,50.8908
0.326531,50.8955
0.32824,50.9001
0.329949,50.9048
0.331658,50.9095
0.333367,50.9142
0.335077,50.9188
0.336786,50.9235
0.338495,50.9282
0.340204,50.9329
0.341913,50.9376
0.343622,50.9422
0.345331,50.9469
0.34704,50.9516
0.348749,50.9563
0.350458,50.9609
0.352167,50.9656
0.353876,50.9703
0.355585,50.975
0.357294,50.9796
0.359003,50.9843
0.360712,50.989
0.362421,50.9937
0.36413,50.9983
0.365838,51.003
0.367547,51.0077
0.369256,51.0124
0.370965,51.017
0.372674,51.0217
0.374383,51.0264
0.376092,51.0311
0.377801,51.0357
0.37951,51.0404
0.381219,51.0451
0.382928,51.0498
0.384637,51.0544
0.386345,51.0591
0.388054,51.0638
0.389763,51.0685
0.391472,51.0731
0.393181,51.0778
0.39489,51.0825
0.396599,51.0872
0.398308,51.0918
0.400016,51.0965
0.401725,51.1012
0.403434,51.1059
0.405143,51.1105
0.406852,51.1152
0.40856,51.1199
0.410269,51.1246
0.411978,51.1292
0.413687,51.1339
0.415396,51.1386
0.417104,51.1432
0.418813,51.1479
0.420522,51.1526
0.422231,51.1573
0.42394,51.1619
0.425648,51.1666
0.427357,51.1713
0.429066,51.1759
0.430775,51.1806
0.432483,51.1853
0.434192,51.19
0.435901,51.1946
0.43761,51.1993
0.439318,51.204
0.441027,51.2086
0.442736,51.2133
0.444444,51.218
0.446153,51.2227
0.447862,51.2273
0.44957,51.232
0.451279,51.2367
0.452988,51.2413
0.454697,51.246
0.456405,51.2507
0.458114,51.2553
0.459822,51.26
0.461531,51.2647
0.46324,51.2694
0.464948,51.274
0.466657,51.2787
0.468366,51.2834
0.470074,51.288
0.471783,51.2927
0.473492,51.2974
0.4752,51.302
0.476909,51.3067
0.478617,51.3114
0.480326,51.316
0.482035,51.3207
0.483743,51.3254
0.485452,51.33
0.48716,51.3347
0.488869,51.3394
0.490577,51.3441
0.492286,51.3487
0.493994,51.3534
0.495703,51.3581
0.497412,51.3627
0.49912,51.3674
0.500829,51.3721
0.502537,51.3767
0.504246,51.3814
0.505954,51.3861
0.507663,51.3907
0.509371,51.3954
0.51108,51.4001
0.512788,51.4047
0.514497,51.4094
0.516205,51.4141
0.517914,51.4187
0.519622,51.4234
0.52133,51.4281
0.523039,51.4327
0.524747,51.4374
0.526456,51.442
0.528164,51.4467
0.529873,51.4514
0.531581,51.456
0.53329,51.4607
0.534998,51.4654
0.536706,51.47
0.538415,51.4747
0.540123,51.4794
0.541832,51.484
0.54354,51.4887
0.545248,51.4934
0.546957,51.498
0.548665,51.5027
0.550374,51.5074
0.552082,51.512
0.55379,51.5167
0.555499,51.5213
0.557207,51.526
0.558915,51.5307
0.560624,51.5353
0.562332,51.54
0.56404,51.5447
0.565749,51.5493
0.567457,51.554
0.569165,51.5587
0.570874,51.5633
0.572582,51.568
0.57429,51.5726
0.575998,51.5773
0.577707,51.582
0.579415,51.5866
0.581123,51.5913
0.582832,51.5959
0.58454,51.6006
0.586248,51.6053
0.587956,51.6099
0.589665,51.6146
0.591373,51.6193
0.593081,51.6239
0.594789,51.6286
0.596497,51.6332
0.598206,51.6379
0.599914,51.6426
0.601622,51.6472
0.60333,51.6519
0.605039,51.6565
0.606747,51.6612
0.608455,51.6659
0.610163,51.6705
0.611871,51.6752
0.613579,51.6798
0.615288,51.6845
0.616996,51.6892
0.618704,51.6938
0.620412,51.6985
0.62212,51.7031
0.623828,51.7078
0.625536,51.7125
0.627245,51.7171
0.628953,51.7218
0.630661,51.7264
0.632369,51.7311
0.634077,51.7358
0.635785,51.7404
0.637493,51.7451
0.639201,51.7497
0.640909,51.7544
0.642618,51.7591
0.644326,51.7637
0.646034,51.7684
0.647742,51.773
0.64945,51.7777
0.651158,51.7823
0.652866,51.787
0.654574,51.7917
0.656282,51.7963
0.65799,51.801
0.659698,51.8056
0.661406,51.8103
0.663114,51.8149
0.664822,51.8196
0.66653,51.8243
0.668238,51.8289
0.669946,51.8336
0.671654,51.8382
0.673362,51.8429
0.67507,51.8475
0.676778,51.8522
0.678486,51.8568
0.680194,51.8615
0.681902,51.8662
0.68361,51.8708
0.685318,51.8755
0.687026,51.8801
0.688734,51.8848
0.690442,51.8894
0.692149,51.8941
0.693857,51.8987
0.695565,51.9034
0.697273,51.9081
0.698981,51.9127
0.700689,51.9174
0.702397,51.922
0.704105,51.9267
0.705813,51.9313
0.707521,51.936
0.709228,51.9406
0.710936,51.9453
0.712644,51.9499
0.714352,51.9546
0.71606,51.9593
0.717768,51.9639
0.719476,51.9686
0.721183,51.9732
0.722891,51.9779
0.724599,51.9825
0.726307,51.9872
0.728015,51.9918
0.729722,51.9965
0.73143,52.0011
0.733138,52.0058
0.734846,52.0104
0.736554,52.0151
0.738261,52.0197
0.739969,52.0244
