x,y
0.00433013,50.0025
0.00866024,50.005
0.0129903,50.0075
0.0173204,50.01
0.0216505,50.0125
0.0259806,50.015
0.0303106,50.0175
0.0346407,50.02
0.0389707,50.0225
0.0433008,50.025
0.0476308,50.0275
0.0519608,50.03
0.0562908,50.0325
0.0606207,50.035
0.0649507,50.0375
0.0692806,50.04
0.0736106,50.0425
0.0779405,50.045
0.0822704,50.0475
0.0866003,50.05
0.0909302,50.0525
0.0952601,50.055
0.09959,50.0575
0.10392,50.06
0.10825,50.0625
0.11258,50.065
0.116909,50.0675
0.121239,50.07
0.125569,50.0725
0.129899,50.075
0.134229,50.0775
0.138558,50.0799
0.142888,50.0824
0.147218,50.0849
0.151548,50.0874
0.155877,50.0899
0.160207,50.0924
0.164537,50.0949
0.168866,50.0974
0.173196,50.0999
0.177526,50.1024
0.181855,50.1049
0.186185,50.1074
0.190515,50.1099
0.194844,50.1124
0.199174,50.1149
0.203503,50.1174
0.207833,50.1199
0.212163,50.1224
0.216492,50.1249
0.220822,50.1274
0.225151,50.1299
0.229481,50.1324
0.23381,50.1349
0.23814,50.1373
0.242469,50.1398
0.246799,50.1423
0.251128,50.1448
0.255458,50.1473
0.259787,50.1498
0.264117,50.1523
0.268446,50.1548
0.272775,50.1573
0.277105,50.1598
0.281434,50.1623
0.285764,50.1648
0.290093,50.1673
0.294422,50.1698
0.298752,50.1723
0.303081,50.1748
0.30741,50.1772
0.31174,50.1797
0.316069,50.1822
0.320398,50.1847
0.324727,50.1872
0.329057,50.1897
0.333386,50.1922
0.337715,50.1947
0.342044,50.1972
0.346374,50.1997
0.350703,50.2022
0.355032,50.2047
0.359361,50.2071
0.36369,50.2096
0.36802,50.2121
0.372349,50.2146
0.376678,50.2171
0.381007,50.2196
0.385336,50.2221
0.389665,50.2246
0.393994,50.2271
0.398323,50.2296
0.402652,50.2321
0.406981,50.2345
0.411311,50.237
0.41564,50.2395
0.419969,50.242
0.424298,50.2445
0.428627,50.247
0.432956,50.2495
0.437285,50.252
0.441614,50.2545
0.445942,50.257
0.450271,50.2594
0.4546,50.2619
0.458929,50.2644
0.463258,50.2669
0.467587,50.2694
0.471916,50.2719
0.476245,50.2744
0.480574,50.2769
0.484902,50.2794
0.489231,50.2818
0.49356,50.2843
0.497889,50.2868
0.502218,50.2893
0.506547,50.2918
0.510875,50.2943
0.515204,50.2968
0.519533,50.2993
0.523862,50.3017
0.52819,50.3042
0.532519,50.3067
0.536848,50.3092
0.541176,50.3117
0.545505,50.3142
0.549834,50.3167
0.554162,50.3192
0.558491,50.3216
0.56282,50.3241
0.567148,50.3266
0.571477,50.3291
0.575806,50.3316
0.580134,50.3341
0.584463,50.3366
0.588791,50.3391
0.59312,50.3415
0.597448,50.344
0.601777,50.3465
0.606106,50.349
0.610434,50.3515
0.614763,50.354
0.619091,50.3564
0.623419,50.3589
0.627748,50.3614
0.632076,50.3639
0.636405,50.3664
0.640733,50.3689
0.645062,50.3714
0.64939,50.3738
0.653719,50.3763
0.658047,50.3788
0.662375,50.3813
0.666704,50.3838
0.671032,50.3863
0.67536,50.3887
0.679689,50.3912
0.684017,50.3937
0.688345,50.3962
0.692674,50.3987
0.697002,50.4012
0.70133,50.4037
0.705658,50.4061
0.709987,50.4086
0.714315,50.4111
0.718643,50.4136
0.722971,50.4161
0.727299,50.4185
0.731628,50.421
0.735956,50.4235
0.740284,50.426
0.744612,50.4285
0.74894,50.431
0.753268,50.4334
0.757597,50.4359
0.761925,50.4384
0.766253,50.4409
0.770581,50.4434
0.774909,50.4459
0.779237,50.4483
0.783565,50.4508
0.787893,50.4533
0.792221,50.4558
0.796549,50.4583
0.800877,50.4607
0.805205,50.4632
0.809533,50.4657
0.813861,50.4682
0.818189,50.4707
0.822517,50.4731
0.826845,50.4756
0.831173,50.4781
0.835501,50.4806
0.839829,50.4831
0.844157,50.4855
0.848484,50.488
0.852812,50.4905
0.85714,50.493
0.861468,50.4955
0.865796,50.4979
0.870124,50.5004
0.874451,50.5029
0.878779,50.5054
0.883107,50.5079
0.887435,50.5103
0.891763,50.5128
0.89609,50.5153
0.900418,50.5178
0.904746,50.5203
0.909074,50.5227
0.913401,50.5252
0.917729,50.5277
0.922057,50.5302
0.926384,50.5326
0.930712,50.5351
0.93504,50.5376
0.939367,50.5401
0.943695,50.5426
0.948022,50.545
0.95235,50.5475
0.956678,50.55
0.961005,50.5525
0.965333,50.5549
0.96966,50.5574
0.973988,50.5599
0.978315,50.5624
0.982643,50.5648
0.98697,50.5673
0.991298,50.5698
0.995625,50.5723
0.999953,50.5748
1.00428,50.5772
1.00861,50.5797
1.01294,50.5822
1.01726,50.5847
1.02159,50.5871
1.02592,50.5896
1.03024,50.5921
1.03457,50.5946
1.0389,50.597
1.04323,50.5995
1.04755,50.602
1.05188,50.6045
1.05621,50.6069
1.06054,50.6094
1.06486,50.6119
1.06919,50.6144
1.07352,50.6168
1.07785,50.6193
1.08217,50.6218
1.0865,50.6243
1.09083,50.6267
1.09515,50.6292
1.09948,50.6317
1.10381,50.6341
1.10814,50.6366
1.11246,50.6391
1.11679,50.6416
1.12112,50.644
1.12544,50.6465
1.12977,50.649
1.1341,50.6515
1.13843,50.6539
1.14275,50.6564
1.14708,50.6589
1.15141,50.6614
1.15573,50.6638
1.16006,50.6663
1.16439,50.6688
1.16872,50.6712
1.17304,50.6737
1.17737,50.6762
1.1817,50.6787
1.18602,50.6811
1.19035,50.6836
1.19468,50.6861
1.199,50.6885
1.20333,50.691
1.20766,50.6935
1.21199,50.696
1.21631,50.6984
1.22064,50.7009
1.22497,50.7034
1.22929,50.7058
1.23362,50.7083
1.23795,50.7108
1.24227,50.7133
1.2466,50.7157
1.25093,50.7182
1.25525,50.7207
1.25958,50.7231
1.26391,50.7256
1.26823,50.7281
1.27256,50.7305
1.27689,50.733
1.28121,50.7355
1.28554,50.738
1.28987,50.7404
1.29419,50.7429
1.29852,50.7454
1.30285,50.7478
1.30717,50.7503
1.3115,50.7528
1.31583,50.7552
1.32015,50.7577
1.32448,50.7602
1.32881,50.7626
1.33313,50.7651
1.33746,50.7676
1.34179,50.77
1.34611,50.7725
1.35044,50.775
1.35477,50.7774
1.35909,50.7799
1.36342,50.7824
1.36775,50.7849
1.37207,50.7873
1.3764,50.7898
1.38073,50.7923
1.38505,50.7947
1.38938,50.7972
1.3937,50.7997
1.39803,50.8021
1.40236,50.8046
1.40668,50.8071
1.41101,50.8095
1.41534,50.812
1.41966,50.8145
1.42399,50.8169
