x,y
0.00469846,50.0017
0.00939691,50.0034
0.0140954,50.0051
0.0187938,50.0068
0.0234922,50.0085
0.0281906,50.0103
0.032889,50.012
0.0375874,50.0137
0.0422857,50.0154
0.0469841,50.0171
0.0516824,50.0188
0.0563807,50.0205
0.061079,50.0222
0.0657773,50.0239
0.0704756,50.0256
0.0751739,50.0273
0.0798722,50.0291
0.0845704,50.0308
0.0892687,50.0325
0.0939669,50.0342
0.0986651,50.0359
0.103363,50.0376
0.108061,50.0393
0.11276,50.041
0.117458,50.0427
0.122156,50.0444
0.126854,50.0461
0.131552,50.0478
0.13625,50.0496
0.140948,50.0513
0.145647,50.053
0.150345,50.0547
0.155043,50.0564
0.159741,50.0581
0.164439,50.0598
0.169137,50.0615
0.173835,50.0632
0.178533,50.0649
0.183231,50.0666
0.187929,50.0683
0.192627,50.07
0.197325,50.0717
0.202023,50.0734
0.206721,50.0751
0.211418,50.0769
0.216116,50.0786
0.220814,50.0803
0.225512,50.082
0.23021,50.0837
0.234908,50.0854
0.239606,50.0871
0.244304,50.0888
0.249001,50.0905
0.253699,50.0922
0.258397,50.0939
0.263095,50.0956
0.267792,50.0973
0.27249,50.099
0.277188,50.1007
0.281886,50.1024
0.286583,50.1041
0.291281,50.1058
0.295979,50.1075
0.300676,50.1092
0.305374,50.1109
0.310072,50.1126
0.314769,50.1144
0.319467,50.1161
0.324165,50.1178
0.328862,50.1195
0.33356,50.1212
0.338257,50.1229
0.342955,50.1246
0.347653,50.1263
0.35235,50.128
0.357048,50.1297
0.361745,50.1314
0.366443,50.1331
0.37114,50.1348
0.375838,50.1365
0.380535,50.1382
0.385233,50.1399
0.38993,50.1416
0.394627,50.1433
0.399325,50.145
0.404022,50.1467
0.40872,50.1484
0.413417,50.1501
0.418114,50.1518
0.422812,50.1535
0.427509,50.1552
0.432206,50.1569
0.436904,50.1586
0.441601,50.1603
0.446298,50.162
0.450996,50.1637
0.455693,50.1654
0.46039,50.1671
0.465087,50.1688
0.469785,50.1705
0.474482,50.1722
0.479179,50.1739
0.483876,50.1756
0.488573,50.1773
0.493271,50.179
0.497968,50.1807
0.502665,50.1824
0.507362,50.1841
0.512059,50.1858
0.516756,50.1875
0.521453,50.1892
0.52615,50.1909
0.530847,50.1926
0.535544,50.1943
0.540242,50.196
0.544939,50.1977
0.549636,50.1994
0.554333,50.2011
0.55903,50.2028
0.563727,50.2045
0.568424,50.2062
0.57312,50.2079
0.577817,50.2096
0.582514,50.2113
0.587211,50.213
0.591908,50.2147
0.596605,50.2164
0.601302,50.2181
0.605999,50.2198
0.610696,50.2215
0.615392,50.2232
0.620089,50.2249
0.624786,50.2265
0.629483,50.2282
0.63418,50.2299
0.638877,50.2316
0.643573,50.2333
0.64827,50.235
0.652967,50.2367
0.657664,50.2384
0.66236,50.2401
0.667057,50.2418
0.671754,50.2435
0.67645,50.2452
0.681147,50.2469
0.685844,50.2486
0.69054,50.2503
0.695237,50.252
0.699934,50.2537
0.70463,50.2554
0.709327,50.2571
0.714023,50.2588
0.71872,50.2605
0.723416,50.2622
0.728113,50.2639
0.73281,50.2655
0.737506,50.2672
0.742203,50.2689
0.746899,50.2706
0.751596,50.2723
0.756292,50.274
0.760988,50.2757
0.765685,50.2774
0.770381,50.2791
0.775078,50.2808
0.779774,50.2825
0.784471,50.2842
0.789167,50.2859
0.793863,50.2876
0.79856,50.2893
0.803256,50.2909
0.807952,50.2926
0.812649,50.2943
0.817345,50.296
0.822041,50.2977
0.826738,50.2994
0.831434,50.3011
0.83613,50.3028
0.840826,50.3045
0.845523,50.3062
0.850219,50.3079
0.854915,50.3096
0.859611,50.3113
0.864307,50.3129
0.869003,50.3146
0.8737,50.3163
0.878396,50.318
0.883092,50.3197
0.887788,50.3214
0.892484,50.3231
0.89718,50.3248
0.901876,50.3265
0.906572,50.3282
0.911268,50.3299
0.915965,50.3315
0.920661,50.3332
0.925357,50.3349
0.930053,50.3366
0.934749,50.3383
0.939445,50.34
0.944141,50.3417
0.948836,50.3434
0.953532,50.3451
0.958228,50.3468
0.962924,50.3484
0.96762,50.3501
0.972316,50.3518
0.977012,50.3535
0.981708,50.3552
0.986404,50.3569
0.9911,50.3586
0.995795,50.3603
1.00049,50.362
1.00519,50.3636
1.00988,50.3653
1.01458,50.367
1.01927,50.3687
1.02397,50.3704
1.02867,50.3721
1.03336,50.3738
1.03806,50.3755
1.04275,50.3771
1.04745,50.3788
1.05214,50.3805
1.05684,50.3822
1.06154,50.3839
1.06623,50.3856
1.07093,50.3873
1.07562,50.389
1.08032,50.3906
1.08501,50.3923
1.08971,50.394
1.0944,50.3957
1.0991,50.3974
1.1038,50.3991
1.10849,50.4008
1.11319,50.4024
1.11788,50.4041
1.12258,50.4058
1.12727,50.4075
1.13197,50.4092
1.13666,50.4109
1.14136,50.4126
1.14606,50.4142
1.15075,50.4159
1.15545,50.4176
1.16014,50.4193
1.16484,50.421
1.16953,50.4227
1.17423,50.4244
1.17892,50.426
1.18362,50.4277
1.18831,50.4294
1.19301,50.4311
1.1977,50.4328
1.2024,50.4345
1.20709,50.4361
1.21179,50.4378
1.21649,50.4395
1.22118,50.4412
1.22588,50.4429
1.23057,50.4446
1.23527,50.4462
1.23996,50.4479
1.24466,50.4496
1.24935,50.4513
1.25405,50.453
1.25874,50.4547
1.26344,50.4563
1.26813,50.458
1.27283,50.4597
1.27752,50.4614
1.28222,50.4631
1.28691,50.4648
1.29161,50.4664
1.2963,50.4681
1.301,50.4698
1.30569,50.4715
1.31039,50.4732
1.31508,50.4749
1.31978,50.4765
1.32447,50.4782
1.32917,50.4799
1.33386,50.4816
1.33856,50.4833
1.34325,50.4849
1.34795,50.4866
1.35264,50.4883
1.35734,50.49
1.36203,50.4917
1.36673,50.4933
1.37142,50.495
1.37612,50.4967
1.38081,50.4984
1.38551,50.5001
1.3902,50.5017
1.3949,50.5034
1.39959,50.5051
1.40429,50.5068
1.40898,50.5085
1.41367,50.5101
1.41837,50.5118
1.42306,50.5135
1.42776,50.5152
1.43245,50.5169
1.43715,50.5185
1.44184,50.5202
1.44654,50.5219
1.45123,50.5236
1.45593,50.5253
1.46062,50.5269
1.46532,50.5286
1.47001,50.5303
1.47471,50.532
1.4794,50.5336
1.48409,50.5353
1.48879,50.537
1.49348,50.5387
1.49818,50.5404
1.50287,50.542
1.50757,50.5437
1.51226,50.5454
1.51696,50.5471
1.52165,50.5487
1.52634,50.5504
1.53104,50.5521
1.53573,50.5538
1.54043,50.5555
1.54512,50.5571
1.54982,50.5588
1.55451,50.5605
1.55921,50.5622
1.5639,50.5638
1.56859,50.5655
1.57329,50.5672
1.57798,50.5689
1.58268,50.5705
1.58737,50.5722
1.59207,50.5739
1.59676,50.5756
1.60145,50.5772
1.60615,50.5789
1.61084,50.5806
1.61554,50.5823
1.62023,50.5839
1.62492,50.5856
1.62962,50.5873
1.63431,50.589
1.63901,50.5906
1.6437,50.5923
1.6484,50.594
1.65309,50.5957
1.65778,50.5973
1.66248,50.599
1.66717,50.6007
1.67187,50.6024
1.67656,50.604
1.68125,50.6057
