x,y
0.0025,50.0043
0.00499999,50.0087
0.00749998,50.013
0.00999996,50.0173
0.0124999,50.0216
0.0149999,50.026
0.0174998,50.0303
0.0199998,50.0346
0.0224997,50.039
0.0249997,50.0433
0.0274996,50.0476
0.0299995,50.052
0.0324994,50.0563
0.0349993,50.0606
0.0374992,50.0649
0.0399991,50.0693
0.042499,50.0736
0.0449989,50.0779
0.0474988,50.0823
0.0499986,50.0866
0.0524985,50.0909
0.0549983,50.0952
0.0574982,50.0996
0.059998,50.1039
0.0624978,50.1082
0.0649977,50.1125
0.0674975,50.1169
0.0699973,50.1212
0.0724971,50.1255
0.0749969,50.1299
0.0774967,50.1342
0.0799964,50.1385
0.0824962,50.1428
0.084996,50.1472
0.0874957,50.1515
0.0899955,50.1558
0.0924952,50.1601
0.094995,50.1645
0.0974947,50.1688
0.0999944,50.1731
0.102494,50.1774
0.104994,50.1818
0.107494,50.1861
0.109993,50.1904
0.112493,50.1947
0.114993,50.1991
0.117492,50.2034
0.119992,50.2077
0.122492,50.2121
0.124991,50.2164
0.127491,50.2207
0.12999,50.225
0.13249,50.2293
0.13499,50.2337
0.137489,50.238
0.139989,50.2423
0.142489,50.2466
0.144988,50.251
0.147488,50.2553
0.149987,50.2596
0.152487,50.2639
0.154986,50.2683
0.157486,50.2726
0.159986,50.2769
0.162485,50.2812
0.164985,50.2856
0.167484,50.2899
0.169984,50.2942
0.172483,50.2985
0.174983,50.3029
0.177482,50.3072
0.179982,50.3115
0.182481,50.3158
0.184981,50.3201
0.18748,50.3245
0.18998,50.3288
0.192479,50.3331
0.194978,50.3374
0.197478,50.3418
0.199977,50.3461
0.202477,50.3504
0.204976,50.3547
0.207476,50.359
0.209975,50.3634
0.212474,50.3677
0.214974,50.372
0.217473,50.3763
0.219973,50.3806
0.222472,50.385
0.224971,50.3893
0.227471,50.3936
0.22997,50.3979
0.232469,50.4022
0.234969,50.4066
0.237468,50.4109
0.239967,50.4152
0.242467,50.4195
0.244966,50.4238
0.247465,50.4282
0.249965,50.4325
0.252464,50.4368
0.254963,50.4411
0.257462,50.4454
0.259962,50.4498
0.262461,50.4541
0.26496,50.4584
0.267459,50.4627
0.269959,50.467
0.272458,50.4714
0.274957,50.4757
0.277456,50.48
0.279955,50.4843
